path,category,theme,dependencies,parameters,num_dependencies,num_parameters,ignored_dependencies,ignored_parameters,errors,export_name
metacatui-es6/src/js/views/CitationListView.js,view,,"['jquery', 'underscore', 'backbone', 'collections/Citations', 'views/CitationView']","['$', '_', 'Backbone', 'Citations', 'CitationView']",5,5,[],[],[],CitationListView
metacatui-es6/src/js/views/DataPackageView.js,view,,"['jquery', 'underscore', 'backbone', 'localforage', 'collections/DataPackage', 'models/DataONEObject', 'models/metadata/ScienceMetadata', 'models/metadata/eml211/EML211', 'views/DataItemView', 'text!templates/dataPackage.html', 'text!templates/dataPackageStart.html']","['$', '_', 'Backbone', 'LocalForage', 'DataPackage', 'DataONEObject', 'ScienceMetadata', 'EML211', 'DataItemView', 'DataPackageTemplate', 'DataPackageStartTemplate']",11,11,[],[],[],DataPackageView
metacatui-es6/src/js/views/MarkdownView.js,view,,"['jquery', 'underscore', 'backbone', 'showdown', 'text!templates/markdown.html', 'text!templates/loading.html']","['$', '_', 'Backbone', 'showdown', 'markdownTemplate', 'LoadingTemplate']",6,6,[],[],[],MarkdownView
metacatui-es6/src/js/views/RegisterCitationView.js,view,,"['jquery', 'underscore', 'backbone', 'common/Utilities', 'text!templates/registerCitation.html']","['$', '_', 'Backbone', 'Utilities', 'RegisterCitationTemplate']",5,5,[],[],[],RegisterCitationView
metacatui-es6/src/js/views/StatsView.js,view,,"['jquery', 'underscore', 'backbone', 'd3', 'LineChart', 'BarChart', 'DonutChart', 'CircleBadge', 'collections/Citations', 'models/MetricsModel', 'models/Stats', 'MetricsChart', 'views/CitationListView', 'text!templates/metricModalTemplate.html', 'text!templates/profile.html', 'text!templates/alert.html', 'text!templates/loading.html', 'text!templates/loading-metrics.html']","['$', '_', 'Backbone', 'd3', 'LineChart', 'BarChart', 'DonutChart', 'CircleBadge', 'Citations', 'MetricsModel', 'StatsModel', 'MetricsChart', 'CitationList', 'MetricModalTemplate', 'profileTemplate', 'AlertTemplate', 'LoadingTemplate', 'MetricsLoadingTemplate']",18,18,[],[],[],StatsView
metacatui-es6/src/js/views/NavbarView.js,view,,"['jquery', 'underscore', 'backbone', 'views/SignInView', 'text!templates/navbar.html']","['$', '_', 'Backbone', 'SignInView', 'NavbarTemplate']",5,5,[],[],[],NavbarView
metacatui-es6/src/js/views/MainContentView.js,view,,"['jquery', 'underscore', 'backbone', 'text!templates/mainContent.html']","['$', '_', 'Backbone', 'MainContentTemplate']",4,4,[],[],[],MainContentView
metacatui-es6/src/js/views/GroupListView.js,view,,"['jquery', 'underscore', 'backbone', 'collections/UserGroup', 'models/UserModel', 'views/PagerView']","['$', '_', 'Backbone', 'UserGroup', 'UserModel', 'PagerView']",6,6,[],[],[],GroupListView
metacatui-es6/src/js/views/MetricsChartView.js,view,,"['jquery', 'underscore', 'backbone', 'd3']","['$', '_', 'Backbone', 'd3']",4,4,[],[],[],d
metacatui-es6/src/js/views/ImageUploaderView.js,view,,"['underscore', 'jquery', 'backbone', 'models/DataONEObject', 'collections/ObjectFormats', 'Dropzone', 'text!templates/imageUploader.html', 'corejs']","['_', '$', 'Backbone', 'DataONEObject', 'ObjectFormats', 'Dropzone', 'Template', 'corejs']",8,8,[],[],[],ImageUploaderView
metacatui-es6/src/js/views/MarkdownEditorView.js,view,,"['underscore', 'jquery', 'backbone', 'woofmark', 'models/metadata/eml220/EMLText', 'views/ImageUploaderView', 'views/MarkdownView', 'views/TableEditorView', 'text!templates/markdownEditor.html']","['_', '$', 'Backbone', 'Woofmark', 'EMLText', 'ImageUploader', 'MarkdownView', 'TableEditor', 'Template']",9,9,[],[],[],MarkdownEditorView
metacatui-es6/src/js/views/TextView.js,view,,"['jquery', 'underscore', 'backbone', 'text!templates/alert.html', 'text!templates/about.html', 'text!templates/api.html', 'text!templates/tools.html', 'text!templates/help-searchTips.html', 'text!templates/content/signin-help.html']","['$', '_', 'Backbone', 'AlertTemplate', 'AboutTemplate', 'APITemplate', 'ToolsTemplate', 'SearchTipsTemplate', 'SignInHelpTemplate']",9,9,[],[],[],TextView
metacatui-es6/src/js/views/AltHeaderView.js,view,,"['jquery', 'underscore', 'backbone', 'text!templates/altHeader.html', 'text!templates/defaultHeader.html']","['$', '_', 'Backbone', 'AltHeaderTemplate', 'DefaultHeaderTemplate']",5,5,[],[],[],AltHeaderView
metacatui-es6/src/js/views/FooterView.js,view,,"['jquery', 'underscore', 'backbone', 'text!templates/footer.html']","['$', '_', 'Backbone', 'FooterTemplate']",4,4,[],[],[],FooterView
metacatui-es6/src/js/views/ColorPaletteView.js,view,,"['underscore', 'jquery', 'backbone']","['_', '$', 'Backbone']",3,3,[],[],[],ColorPaletteView
metacatui-es6/src/js/views/FeaturedDataView.js,view,,"['jquery', 'underscore', 'backbone', 'text!templates/featuredData.html']","['$', '_', 'Backbone', 'FeaturedDataTemplate']",4,4,[],[],[],FeaturedDataView
metacatui-es6/src/js/views/TableEditorView.js,view,,"['underscore', 'jquery', 'backbone', 'markdownTableFromJson', 'markdownTableToJson', 'text!templates/tableEditor.html']","['_', '$', 'Backbone', 'markdownTableFromJson', 'markdownTableToJson', 'Template']",6,6,[],[],[],TableEditorView
metacatui-es6/src/js/views/PackageTableView.js,view,,"['jquery', 'underscore', 'backbone', 'models/PackageModel', 'views/DownloadButtonView', 'text!templates/downloadContents.html']","['$', '_', 'Backbone', 'Package', 'DownloadButtonView', 'Template']",6,6,[],[],[],PackageTable
metacatui-es6/src/js/views/MetricView.js,view,,"['jquery', 'underscore', 'backbone', 'views/MetricModalView']","['$', '_', 'Backbone', 'MetricModalView']",4,4,[],[],[],MetricView
metacatui-es6/src/js/views/MapsView.js,view,,"['jquery', 'underscore', 'backbone', 'gmaps', 'nGeohash', 'text!templates/maps.html']","['$', '_', 'Backbone', 'gmaps', 'nGeohash', 'mapsTemplate']",6,6,[],[],[],mapsView
metacatui-es6/src/js/views/AppView.js,view,,"['jquery', 'underscore', 'backbone', 'views/AltHeaderView', 'views/NavbarView', 'views/FooterView', 'views/SignInView', 'text!templates/alert.html', 'text!templates/appHead.html', 'text!templates/jsonld.txt', 'text!templates/app.html', 'text!templates/loading.html']","['$', '_', 'Backbone', 'AltHeaderView', 'NavbarView', 'FooterView', 'SignInView', 'AlertTemplate', 'AppHeadTemplate', 'JsonLDTemplate', 'AppTemplate', 'LoadingTemplate']",12,12,[],[],[],AppView
metacatui-es6/src/js/views/LineChartView.js,view,,"['jquery', 'underscore', 'backbone', 'd3']","['$', '_', 'Backbone', 'd3']",4,4,[],[],[],xPos
metacatui-es6/src/js/views/CircleBadgeView.js,view,,"['jquery', 'underscore', 'backbone', 'd3']","['$', '_', 'Backbone', 'd3']",4,4,[],[],[],CircleBadgeView
metacatui-es6/src/js/views/SignInView.js,view,,"['jquery', 'underscore', 'backbone', 'text!templates/login.html', 'text!templates/alert.html', 'text!templates/loginButtons.html', 'text!templates/loginOptions.html', 'text!templates/login-ldap.html']","['$', '_', 'Backbone', 'LoginTemplate', 'AlertTemplate', 'LoginButtonsTemplate', 'LoginOptionsTemplate', 'LdapLoginTemplate']",8,8,[],[],[],SignInView
metacatui-es6/src/js/views/DownloadButtonView.js,view,,"['jquery', 'underscore', 'backbone', 'models/SolrResult']","['$', '_', 'Backbone', 'SolrResult', 'template']",4,5,[None],[],[],DownloadButtonView
metacatui-es6/src/js/views/DatasetView.js,view,,"['underscore', 'jquery', 'backbone', 'models/DataONEObject', 'models/metadata/ScienceMetadata', 'models/metadata/eml211/EML211', 'views/metadata/EML211View', 'text!templates/metadata.html']","['_', '$', 'Backbone', 'DataONEObject', 'ScienceMetadata', 'EML', 'EMLView', 'Template']",8,8,[],[],[],DatasetView
metacatui-es6/src/js/views/DataCatalogViewWithFilters.js,view,,"['jquery', 'underscore', 'backbone', 'gmaps', 'collections/Filters', 'collections/SolrResults', 'models/filters/FilterGroup', 'models/filters/SpatialFilter', 'models/Stats', 'views/DataCatalogView', 'views/filters/FilterGroupsView', 'text!templates/dataCatalog.html', 'nGeohash']","['$', '_', 'Backbone', 'gmaps', 'Filters', 'SearchResults', 'FilterGroup', 'SpatialFilter', 'Stats', 'DataCatalogView', 'FilterGroupsView', 'template', 'nGeohash']",13,13,[],[],[],DataCatalogViewWithFilters
metacatui-es6/src/js/views/AccessPolicyView.js,view,,"['underscore', 'jquery', 'backbone', 'models/AccessRule', 'collections/AccessPolicy', 'views/AccessRuleView', 'text!templates/accessPolicy.html', 'text!templates/filters/toggleFilter.html']","['_', '$', 'Backbone', 'AccessRule', 'AccessPolicy', 'AccessRuleView', 'Template', 'ToggleTemplate']",8,8,[],[],[],AccessPolicyView
metacatui-es6/src/js/views/UserGroupView.js,view,,"['jquery', 'underscore', 'backbone', 'collections/UserGroup', 'views/GroupListView', 'text!templates/userGroup.html', 'text!templates/alert.html']","['$', '_', 'Backbone', 'UserGroup', 'GroupListView', 'Template', 'AlertTemplate']",7,7,[],[],[],UserGroupView
